ds,y,yhat,yhat_lower,yhat_upper,error
2025-12-25 00:00:00,68448.0,75184.7660188362,65677.87675427139,84912.40394834983,6736.766018836206
2025-12-25 01:00:00,64560.0,71984.406039489,63061.07487517486,82405.77553820395,7424.406039488997
2025-12-25 02:00:00,61967.0,70193.21052613275,60453.62866174153,80030.7228753715,8226.210526132752
2025-12-25 03:00:00,60195.0,68429.87872623859,58655.91990023242,77623.47812867998,8234.878726238589
2025-12-25 04:00:00,59314.0,67343.84439250278,57853.00761458418,77181.34465579962,8029.844392502782
2025-12-25 05:00:00,59650.0,67278.89754225076,57982.62661195438,76457.94260463503,7628.897542250765
2025-12-25 06:00:00,60513.0,68319.40972805418,58882.021012842895,77634.34022442695,7806.4097280541755
2025-12-25 07:00:00,62083.0,70573.93422099939,61210.21439736706,79951.02471413832,8490.934220999392
2025-12-25 08:00:00,63834.0,74390.89705619405,64096.22145825137,83901.61682654511,10556.897056194051
2025-12-25 09:00:00,64659.0,77298.06128847443,67572.15071232036,86625.94845990579,12639.061288474433
2025-12-25 10:00:00,61807.0,77545.1382846614,69103.31269058402,87425.60593463,15738.1382846614
2025-12-25 11:00:00,58756.0,76275.79170310064,66851.42652844658,85672.51743856099,17519.791703100636
2025-12-25 12:00:00,57024.0,75264.02124330301,65823.61499879247,84328.45750127689,18240.02124330301
2025-12-25 13:00:00,55977.0,74140.06689442319,64751.590194864635,84251.28896223761,18163.066894423187
2025-12-25 14:00:00,57822.0,75060.45416881537,65286.64533266053,84558.41190727726,17238.45416881537
2025-12-25 15:00:00,60311.0,76703.49482404614,67727.67190155968,86498.67768377569,16392.494824046138
2025-12-25 16:00:00,63962.0,79449.05362248048,69534.88286684825,88758.89622744112,15487.053622480482
2025-12-25 17:00:00,67939.0,82259.9148692929,72753.57317395178,91823.82055801408,14320.914869292901
2025-12-25 18:00:00,71041.0,83166.25746903583,73019.3842109292,92474.79832657403,12125.25746903583
2025-12-25 19:00:00,72089.0,83766.69044728829,73889.99968147762,92211.56544162227,11677.690447288289
2025-12-25 20:00:00,71610.0,83357.53005356362,73830.87310635849,92965.0040641545,11747.53005356362
2025-12-25 21:00:00,70652.0,82451.04198668826,72797.95917455849,91688.65193880521,11799.041986688258
2025-12-25 22:00:00,69418.0,80625.15773583669,72223.7446366253,90682.64992921954,11207.157735836692
2025-12-25 23:00:00,68772.0,78180.8464149768,68691.77465982283,87231.90332934915,9408.846414976797
2025-12-26 00:00:00,68255.0,75697.86393806772,66106.68705234177,84846.79142867868,7442.86393806772
2025-12-26 01:00:00,65280.0,72435.35422732863,62347.12063278997,81798.64777005499,7155.354227328629
2025-12-26 02:00:00,62903.0,69926.96284424896,61100.259294423886,79063.08693646366,7023.962844248963
2025-12-26 03:00:00,61562.0,68452.3889962761,58136.427271652996,77949.4062257329,6890.388996276102
2025-12-26 04:00:00,60896.0,68460.35376049198,58701.242957806375,77941.79340127087,7564.353760491984
2025-12-26 05:00:00,61324.0,67659.76312765363,57841.523225624886,77155.64244101317,6335.763127653627
2025-12-26 06:00:00,63268.0,69889.6520150179,59996.06952091054,79994.1453952315,6621.6520150178985
2025-12-26 07:00:00,67405.0,72374.62741468006,63148.22853316699,82155.51570831907,4969.627414680057
2025-12-26 08:00:00,74642.0,76428.58480972002,67266.06872287203,85424.5302049436,1786.5848097200214
